gamma,p,d_static,alpha_static,F_raw,F_static,Y_static,R_static,d_adaptive,alpha_adaptive,F_adaptive,Y_adaptive,R_adaptive,delta_F,delta_Y,delta_T
0.05,0.13,1,0.47894737124443054,0.848131390757932,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.14,1,0.47894737124443054,0.838384596413123,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.15000000000000002,1,0.47894737124443054,0.828637802068314,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.16,1,0.47894737124443054,0.818891007723505,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.17,1,0.47894737124443054,0.8091442133786961,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.18000000000000002,1,0.47894737124443054,0.7993974190338871,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.19,1,0.47894737124443054,0.7896506246890782,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.2,1,0.47894737124443054,0.7799038303442692,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.01,1,0.6052631735801697,0.9600726260268007,0.0,0.0,0.0,2,0.4368421137332916,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.02,1,0.3947368562221527,0.950377266311968,0.0,0.0,0.0,1,0.5631579160690308,0.9245092189497124,0.5,-9900.0,0.9245092189497124,0.5,-9900.0
0.060000000000000005,0.03,3,0.47894737124443054,0.9406819065971354,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.04,1,0.5631579160690308,0.9309865468823026,0.0,0.0,0.0,1,0.5631579160690308,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.05,1,0.5210526585578918,0.9212911871674698,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
